user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
yoni3556_luis,@MariaCespedesc @PCaterianoB @pcmperu FREPAP ES UN CADÁVER SIN ENTERRAR!! NUNCA MAS!!!,covid-19,1291196419467091968,2020-08-06 02:16:30,22,MariaCespedesc,yoni3556_luis
lavamass3,"@MariaCespedesc @PCaterianoB @pcmperu Como esta el Perú y el mundo para tumbarse un gabinete hay que ser atorrantes, si Uds. Llegaron al congreso es xq estamos cansados de los tradicionales pero así como están también llegaron para cagarlo",covid-19,1291196097847799808,2020-08-06 02:15:13,23,MariaCespedesc,lavamass3
Lilesa1,@MariaCespedesc @PCaterianoB @pcmperu #CongresoVerguenzaNacional #CongresoDelChantaje #CongresoDelChantaje #CongresoDelChantaje #CongresoDelChantaje #CongresoDelChantaje #CongresoDelChantaje,covid-19,1291195163528790017,2020-08-06 02:11:30,24,MariaCespedesc,Lilesa1
martha74bar,@MariaCespedesc @MonicaYaya @PCaterianoB @pcmperu Tranquilos lo que pasa que caterianl sufre en su cerebrito de viejito canoso @PCaterianoB a ustedes les dice que son brutos x falta de experiencia? entonces que es el ministro Chibolo defendió con uñas y dientes  🙄?? Así es la brutalidad se da a la vejez too,covid-19,1291194832375906305,2020-08-06 02:10:11,25,MariaCespedesc,martha74bar
marcocvp10,"@MariaCespedesc @PCaterianoB @pcmperu Zapatero a su zapato. Nada tienen que hacer grupos fanáticos religiosos. La política es el arte de gobernar. Con riesgos o sin riesgos. Pero es política. La corrupción es parte de un sistema caducó, que necesita renovar. Los religiosos no entienden ni entenderan el limbo donde es",covid-19,1291193309004738563,2020-08-06 02:04:08,26,MariaCespedesc,marcocvp10
santi30lima,@MariaCespedesc @PCaterianoB @pcmperu La acabo de escuchar en el programa de @MilagrosLeivaG y su respuesta firme contra #bacteriano,covid-19,1291192809790242821,2020-08-06 02:02:09,27,MariaCespedesc,santi30lima
LVV100,@MariaCespedesc @PCaterianoB @pcmperu Grupos fanáticos y anticientificos son una vergüenza para cualquier país,covid-19,1291190468156555264,2020-08-06 01:52:51,28,MariaCespedesc,LVV100
vcueto7012,@MariaCespedesc @PCaterianoB @pcmperu Estamos con ustedes FREPAP y en contra de esos corruptos y el que gobierna con sus más de 46 denuncias y el otro servil de nadine que no es sancionado por los 24 helicópteros y el satelite inservible al igual que en contra de las mineras y buitres de la confiep,covid-19,1291188433625505798,2020-08-06 01:44:46,29,MariaCespedesc,vcueto7012
RENZOZM,@MariaCespedesc @PCaterianoB @pcmperu CUCUFATA IGNORANTE. TU Y TU SECTA DESGRACIADAMENTE ESTAN EN CONTRA DEL PERÚ.,covid-19,1291185841243594760,2020-08-06 01:34:28,30,MariaCespedesc,RENZOZM
marvichito,@MariaCespedesc @MilagrosLeivaG @PCaterianoB @pcmperu Donde esta lo discriminstorio no saben y punto.,covid-19,1291184292329136129,2020-08-06 01:28:18,31,MariaCespedesc,marvichito
