user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
DogComment	@MariaCespedesc @PCaterianoB Bien! Sigan adelante!	covid-19	1291084174963740672	2020-08-05 18:50:29	70	MariaCespedesc	DogComment
Viole133Salinas	@MariaCespedesc @PCaterianoB Corruptos nos llevan s la muerte a los peruanos	covid-19	1291083341903663112	2020-08-05 18:47:10	71	MariaCespedesc	Viole133Salinas
IramossfRM	@MariaCespedesc @PCaterianoB Decepción total con ustedes. Desestablizan al país en medio de una pandemia. Usted siga gritando en sus intervenciones.	covid-19	1291082173991141377	2020-08-05 18:42:32	72	MariaCespedesc	IramossfRM
OrieleRios	@MariaCespedesc @PCaterianoB Si uds son maltratados, humillados y tratados como personas que no están a la altura del congreso, siendo uds congresistas; no me quiero imaginar como nos ve Cateriano a muchos peruanos en condiciones de economía muy baja (pobres económicamente).... Seguro nos ve como leprosos!!	covid-19	1291079940696309760	2020-08-05 18:33:39	73	MariaCespedesc	OrieleRios
RIMEN15	@MariaCespedesc @PCaterianoB Su participación en el debate fue clara y contundente. No voté por ustedes pero considero que estan haciendo un buen papel. Siempre firmes con sus convicciones. No medias tintas.	covid-19	1291079216876924928	2020-08-05 18:30:47	74	MariaCespedesc	RIMEN15
Cari65440176	@MariaCespedesc @PCaterianoB El Dr. Cateriano no ha hecho otra cosa que decir lo que pensamos muchos peruanos. Por que se comportaron como una bancada fanático religiosa con muy poco conocimiento de la realidad economica del país 🤷	covid-19	1291078082581889025	2020-08-05 18:26:16	75	MariaCespedesc	Cari65440176
Urano55	@MariaCespedesc @PCaterianoB #VacanciaPresidencialYa.	covid-19	1291076692413480960	2020-08-05 18:20:45	76	MariaCespedesc	Urano55
RichardSincer01	@MariaCespedesc @PCaterianoB https://t.co/OrsBoTb4Yb	covid-19	1291075680575410176	2020-08-05 18:16:43	77	MariaCespedesc	RichardSincer01
Juanchi85813975	@MariaCespedesc @PCaterianoB Sra, no se trata de tus ambiciones politicas, aca, se trata de la salud de los peruanos y ustedes sin querer apoyo las zancadillas de su congreso. Tiene q priorizar valores.	covid-19	1291073553681518599	2020-08-05 18:08:16	78	MariaCespedesc	Juanchi85813975
Sobrevi30272146	@MariaCespedesc @PCaterianoB Promoverán la agricultura, el cuál tiene que tener un régimen especial para que sea rentable...	covid-19	1291073327927308289	2020-08-05 18:07:23	79	MariaCespedesc	Sobrevi30272146
marantonyp	@MariaCespedesc @PCaterianoB https://t.co/eqVag25xhf	covid-19	1291069960295526406	2020-08-05 17:54:00	80	MariaCespedesc	marantonyp
jorgezapatajz	@MariaCespedesc @PCaterianoB Aquí no deben haber buenas intenciones solamente. Un año de minería significan 100 años de agricultura. Que propone económicamente para reducir brecha? Uds se deben al pueblo, a quienes los pusieron en esa curul. Uds votaron en bloque, es que allí nadie piensa diferente?	covid-19	1291067325949583360	2020-08-05 17:43:32	81	MariaCespedesc	jorgezapatajz
Marita30706158	@MariaCespedesc @PCaterianoB Minería formal si y no ala minería inlegal que es la que destruye todo hasta trata de personal ,prostitución	covid-19	1291066274169200640	2020-08-05 17:39:21	82	MariaCespedesc	Marita30706158
