user-id|,text|,topic|,thread-id|,time|,post-id|,replyTo|,replyBy|
AlfonsoMDelgado,@MariaCespedesc @FrepapBancada Muchos ya no votaran por esta izquierda coludida con intereses de universidades bambas e intereses subalternos .,covid-19,1290771076012744706,2020-08-04 22:06:20,27,MariaCespedesc,AlfonsoMDelgado
famasem,"@MariaCespedesc @FrepapBancada Traidores.
No les importó que el pueblo está enfermando.
Aquí se despiden, bye",covid-19,1290762343757033475,2020-08-04 21:31:38,28,MariaCespedesc,famasem
Lourdes87164435,"@MariaCespedesc @FrepapBancada Ajustado a la realidad???... Aceptalo uds fueron los tontos útiles de mafiosos cómo Luna, Alarcon y Urresti!!!... Si hubo alguna esperanza de q uds fueran la, Reserva Moral, cuerda y sensata q el Perú necesita... Ya fué ... Nos Decepcionaron!!!",covid-19,1290752705787502593,2020-08-04 20:53:20,29,MariaCespedesc,Lourdes87164435
JCHUMBIMUNI,"@MariaCespedesc @FrepapBancada Estaban trabajando bien, pero negar la confianza a un gabinete que empieza su gestión en plena pandemia es criminal 👎",covid-19,1290751925907005442,2020-08-04 20:50:14,30,MariaCespedesc,JCHUMBIMUNI
William93736656,@MariaCespedesc @FrepapBancada Pobres diablos se prestaron al juego de los mafiosos dueños de universidades truchos..y no digan que no sabían ineptos @MariaCespedesc,covid-19,1290751186208018432,2020-08-04 20:47:18,31,MariaCespedesc,William93736656
NinahuamanJose,"@MariaCespedesc @FrepapBancada El FREPAP hoy no representa a nadie. Lo bueno de todo esto es que ya sabemos cómo son todos estos partidos políticos, así que ha tenerlo en cuenta al momento de las elecciones.",covid-19,1290750817172062208,2020-08-04 20:45:50,32,MariaCespedesc,NinahuamanJose
JosMG21914042,"@MariaCespedesc @FrepapBancada Señorq Congresista el pueblo peruano la felicita, pero también le pedimos que nos apoye con la insistencia del proyecto de ley 4453 y otros , por favor no nos den la espalda como lo hizo el señor Ejecutivo, #CasNuncaMasEnEssalud, CAS a 728, por un trabajo digno y justo.",covid-19,1290740714679291911,2020-08-04 20:05:41,33,MariaCespedesc,JosMG21914042
leonu_p,"@MariaCespedesc @FrepapBancada Nunca más Frepap. Qué vergüenza, total qué se podía esperar de un partido teocrático que cree en su Dios Ataicusi, jamás entenderán razones y evidencia. Haber si lee un poco y deja de vociferar cada vez que habla como los fundamentalistas que son. Nunca más Frepap.",covid-19,1290739662517141504,2020-08-04 20:01:30,34,MariaCespedesc,leonu_p
Ishimine11,@MariaCespedesc @FrepapBancada Sirvieron a los intereses d los sinvergüenzas 🤮🤬🐀. Ya fueron .,covid-19,1290738625697714178,2020-08-04 19:57:23,35,MariaCespedesc,Ishimine11
yusefmetal,"@MariaCespedesc @FrepapBancada Ud será flor de otoño nada más al igual q su partido, su inexperiencia en política le pasara factura al país.",covid-19,1290737997210583042,2020-08-04 19:54:53,36,MariaCespedesc,yusefmetal
