user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
MariaCespedesc	#VotoDeConfianza Nuestros hermanos de la #ONP necesitan su dinero para sobrevivir, no para lujos. Es importante que… https://t.co/JLcwLNr42a	covid-19	1290396449402912768	2020-08-03 21:17:42	1		MariaCespedesc
kikin_fox	@MariaCespedesc @FrepapBancada Señora congresista gracias por acordarse de los aportantes de la ONP, de verdad nos ayudaría bastante en estos tiempos de pandemia.	covid-19	1290766114285400064	2020-08-04 21:46:37	2	MariaCespedesc	kikin_fox
realnic33	@MariaCespedesc @FrepapBancada Los hermanos aportantes de las AFPS también necesitamos nuestro 100% ya!	covid-19	1290754228173111296	2020-08-04 20:59:23	3	MariaCespedesc	realnic33
MariaAsca1	@MariaCespedesc @FrepapBancada Los pensionistas por orfandad de la ONP estan que se mueren de Hambre ni bonos le tocaron el gobierno en cada Gention se olvidan tienen una pensión miserable,ni bonos le tocaron nada de nada.más Humanidad para ellos.que le suban una pensión justa para que puedan sobrevivir.	covid-19	1290728170300280833	2020-08-04 19:15:51	4	MariaCespedesc	MariaAsca1
MariaAsca1	@MariaCespedesc @FrepapBancada De todos los congresistas uds son los que no tienen intereses personales, están sacando cara por el pueblo y enfrentándose a esos políticos corruptos.el pueblo no se equivocó con elegirlos.pero acuérdense de pcd de la ONP por Orfandad que ni bono le dieron su pensión es miserable	covid-19	1290725126640676865	2020-08-04 19:03:45	5	MariaCespedesc	MariaAsca1
juanjo_torres_t	"@MariaCespedesc @FrepapBancada Inocentes o que? Compran del discurso de #Podemos y no plantean su viabilidad. 

Pero la pregunta es. Eso justificaba no votar a favor la Cuestión de confianza y colocar al país en una #CrisisPolitica  

Una vez más son la cola de los intereses económicos que dominan el Congreso."	covid-19	1290707852194131969	2020-08-04 17:55:06	6	MariaCespedesc	juanjo_torres_t
