user-id,text,topic,thread-id,time,post-id,reply-to,reply-by
djrojan25,@dw_espanol Apague y vámonos.,covid-19,34,2020-08-04 12:29:05,1290625806587305984,dw_espanol,djrojan25
burjack,@dw_espanol @romulusmaya estão batendo cabeça? Ou estão batendo nas cabeças lá de dentro?,covid-19,35,2020-08-04 12:28:37,1290625687762632704,dw_espanol,burjack
PerlaRosella66,@dw_espanol Aquí en mi pueblo se llama a eso sicoterror.,covid-19,36,2020-08-04 12:28:20,1290625616262377480,dw_espanol,PerlaRosella66
laurasa40436190,"@dw_espanol Todavía está ese señor en el puesto, a quien representa verdaderamente??",covid-19,37,2020-08-04 12:28:15,1290625595903287298,dw_espanol,laurasa40436190
100toVenezuela,"@dw_espanol Hola buenos dias señores DW, soy yo otra vez. Uds pueden investigar si la OMS avala la vacuna Rusa que… https://t.co/SsReQkdyMS",covid-19,38,2020-08-04 12:27:27,1290625395822297091,dw_espanol,100toVenezuela
Occit,"@dw_espanol No habrá solución a las pandemias mientras no haya solución a las dictaduras como la China, de donde salen las pandemias.",covid-19,39,2020-08-04 12:27:16,1290625347587899394,dw_espanol,Occit
El_Gratvvittero,@dw_espanol ¿Ustedes también?  Y yo que pensaba que ustedes eran serios.,covid-19,40,2020-08-04 12:24:59,1290624775539306496,dw_espanol,El_Gratvvittero
Jorge56315361,@dw_espanol OMS portavoz de dictadura China!,covid-19,41,2020-08-04 12:23:55,1290624504402710528,dw_espanol,Jorge56315361
berenic79813941,"@dw_espanol Por fin, gracias a Dios, son honestos",covid-19,42,2020-08-04 12:23:10,1290624316065841152,dw_espanol,berenic79813941
OdiaraDestilera,@100toVenezuela @dw_espanol Eres ahora una anti-vacuna?,covid-19,2,2020-08-04 12:31:20,1290626371165749248,100toVenezuela,OdiaraDestilera
Chokolisto,"@feres08 @zulayvisopaz1 @dw_espanol Jajajaj que nos ayuden los desinteresados, justos y santos EEUU entonces!",covid-19,2,2020-08-04 13:20:02,1290638628859908102,feres08,Chokolisto
MisssLain,"@XavierChicaC @dw_espanol El problema no es la mortalidad es la saturación de los sistemas de salud, las otras emfe… https://t.co/4fh0Cy4RF8",covid-19,2,2020-08-04 13:05:06,1290634871270973440,XavierChicaC,MisssLain
feres08,@zulayvisopaz1 @dw_espanol La china corrupta lo nombra a su conveniencia.,covid-19,2,2020-08-04 12:38:54,1290628276797550592,zulayvisopaz1,feres08
