user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
Melisa94550712	@MariaCespedesc @PCaterianoB @pcmperu #Frepap ha regresado la confianza en la política, sus valores y acciones lo d… https://t.co/bdFoeLoxs2	Cuestion-de-confianza	3	2020-08-05 16:31:26	1291049184142012418	    1291040818095169536 	1291233521856585728,1291227336441057281,1291214073892306946,1291142334114148358,1291087429118693377
MiguelTriveno	@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu no generalices en el mío no están	Cuestion-de-confianza	3	2020-08-06 04:43:56	1291233521856585728	1291049184142012418	1291233521856585728
JairTeddynho	@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Si claro, tanto asi que prefieren mecharse con el gobierno en plena pandemia que trabajar de la mano!!	Cuestion-de-confianza	3	2020-08-06 04:19:21	1291227336441057281	1291049184142012418	
JulioCCH3	@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Porque no te reclutas en esa agrupacion y te mandan a sembrar papas al monte	Cuestion-de-confianza	3	2020-08-06 03:26:39	1291214073892306946	1291049184142012418	
arezcsa	"@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu OE que hablas??De lo sentimental no se sustenta un país.Peero que mas te puedo decir si ni siquiera habras escuchado lo que dijo cateriano."	Cuestion-de-confianza	3	2020-08-05 22:41:35	1291142334114148358	1291049184142012418	
perteua	@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu Sinceramente  #Elcongresoesculpabledetodasnuestrasdesgracias y en especial la bancada del FREPAP que se opone a el avance de nuestro país. Nos enacargaremos de que no regresen al poder.	Cuestion-de-confianza	3	2020-08-05 19:03:25	1291087429118693377	1291049184142012418	
Melisa94550712	@rociocd19 @MariaCespedesc @PCaterianoB @pcmperu No comparto contigo ellos con consecuentes y le han dicho no a una… https://t.co/v06Ce5heCP	Cuestion-de-confianza	3	2020-08-05 16:33:46	1291049768785973255	 1291049184142012418	1291078738621403137,1291058421660295170,1291058250880778242
jcchabo	@Melisa94550712 @rociocd19 @MariaCespedesc @PCaterianoB @pcmperu en espinar la gente muere???....te refieres a esos comuneros que protestan porque quieren que la empresa minera les de mas regalias y por eso protestan?	Cuestion-de-confianza	3	2020-08-05 18:28:53	1291078738621403137	1291049768785973255	
rociocd19	@Melisa94550712 @MariaCespedesc @PCaterianoB @pcmperu El Perú tiene muchos problemas por resolver,  pero hay prioridades, y esa prioridad es la pandemia. El tema de la minería se puede resolver a través de otros mecanismos. Negando el voto de confianza, favorecieron, queriendo o no, los intereses de ya sabemos quiénes.	Cuestion-de-confianza	3	2020-08-05 17:08:09	1291058421660295170	1291049768785973255	
LuisCarlos2801	@Melisa94550712 @rociocd19 @MariaCespedesc @PCaterianoB @pcmperu Han metido al país en una crisis. Si no hay mala intención por lo menos ignoracia sí hay.	Cuestion-de-confianza	3	2020-08-05 17:07:28	1291058250880778242	1291049768785973255	
PERUANOS21	@zurditasensible @MariaCespedesc @PCaterianoB @pcmperu Somos un país creyente por los siglos de los siglos.  La rel… https://t.co/1gc9TCEhv1	Cuestion-de-confianza	3	2020-08-05 16:26:49	1291048020788875266	    1291040818095169536 	
