"user-id"	"text"	"topic"	"thread-id"	"time"	"post-id"	"reply-to"	"reply-by"
"Victor198"	"@MariaCespedesc @PCaterianoB  Sigan adelante pescaditos!!!! A ese idiota de Luz Verde no le den respiro, es un MALDITO CORRUPTO!"	"Cuestion-de-confianza"	4	"2020-08-05 21:22:57"	41	1	
"espaciolibre231"	"@MariaCespedesc @PCaterianoB Pero ya hay rumores de vacar al presidente... que se trae entre manos este congreso. Estén alertas...los están haciendo pisar el palito!!"	"Cuestion-de-confianza"	4	"2020-08-05 21:18:38"	42	1	
"FreddyLvsng80"	"@MariaCespedesc @PCaterianoB Que el Frepap haya dado la contraria, no fue por una molestia política, fue por una convicción de ellos mismos. El fujiaprista, presidente del congreso y chantajista de ministros, tiene menos credibilidad que el doctor Angulo. PD: Bloqueen a @FREPAP_FIA . Un fujitroll a leguas..!"	"Cuestion-de-confianza"	4	"2020-08-05 21:07:13"	43	1	
"Davi2210hotmai1"	"@MariaCespedesc @PCaterianoB Estudios por favor opotunista"	"Cuestion-de-confianza"	4	"2020-08-05 21:04:50"	44	1	
"dcanovas"	"@MariaCespedesc @PCaterianoB Esto es mentira"	"Cuestion-de-confianza"	4	"2020-08-05 21:03:03"	45	1	
"Cuchiparrilla"	"@MariaCespedesc @PCaterianoB Como si fuera el pueblo fuera a tomar las decisiones a nivel político y social. Para eso se eligen gobernantes, y ustedes fenestaron todo eso."	"Cuestion-de-confianza"	4	"2020-08-05 20:59:23"	46	1	
"raffo20"	"@MariaCespedesc @PCaterianoB Claro y callados con la minería ilegal, ha visto el Escudo Nacional uno de nuestros símbolos patrios? Vean el bosque completo y no sólo el jardín."	"Cuestion-de-confianza"	4	"2020-08-05 20:55:11"	47	1	
"kchv25"	"@MariaCespedesc @PCaterianoB Puro ministros cuestionados por actos de corrupción, y en su discurso Cateriano anunciaba puras compras , ya sabemos que Vizcarra sobrevalorar todas las compras que hace al pueblo peruano , y le gusta poner a toda su gente en cargos públicos y adjudicar obras a favor de ellos"	"Cuestion-de-confianza"	4	"2020-08-05 20:33:52"	48	1	
"kchv25"	"@MariaCespedesc @PCaterianoB Aplaudo que hayan negado la confianza al gabinete de Vizcarra , Cateriano compro satélite chatarra para el Perú con millones de soles en el gobierno de Humala , una ministra que no quiere devolver el dinero de la ONP a los peruanos , un ministro que tilda de serrano al peruano."	"Cuestion-de-confianza"	4	"2020-08-05 20:31:15"	49	1	
"kchv25"	"@MariaCespedesc @PCaterianoB Sin minas la economía del Perú se va abajo, eso tienen que tener claro ustedes , vea la realidad de las minas que generan progreso y desarrollo al pueblo Peruano, la agricultura también se tiene que apoyar , pero elegir agricultura por mina , es descabellado."	"Cuestion-de-confianza"	4	"2020-08-05 20:28:50"	50	1	
